series_id,group_id,currency_to_sek,date,currency,currency_description,source
SEKUSDPMI,130,10.8957,2023-11-13,USD,US dollar,Nasdaq
SEKDKKPMI,130,1.5617,2023-11-10,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-11-10,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.3423,2023-11-10,GBP,pound sterling,Nasdaq
SEKEURPMI,130,11.6474,2023-11-10,EUR,Euroland euro,Nasdaq
SEKUSDPMI,130,10.9087,2023-11-10,USD,US dollar,Nasdaq
SEKUSDPMI,130,10.891,2023-11-09,USD,US dollar,Nasdaq
SEKDKKPMI,130,1.5625,2023-11-09,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.6524,2023-11-09,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-09,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.3694,2023-11-09,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5677,2023-11-08,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.6906,2023-11-08,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-08,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.4309,2023-11-08,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.9499,2023-11-08,USD,US dollar,Nasdaq
SEKEURPMI,130,11.6936,2023-11-07,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.4682,2023-11-07,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.9272,2023-11-07,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-11-07,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5678,2023-11-07,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-11-06,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.8638,2023-11-06,USD,US dollar,Nasdaq
SEKDKKPMI,130,1.565,2023-11-06,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.677,2023-11-06,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.4673,2023-11-06,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5814,2023-11-03,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.8024,2023-11-03,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-03,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.542,2023-11-03,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,11.1085,2023-11-03,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-11-02,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.8041,2023-11-02,EUR,Euroland euro,Nasdaq
SEKDKKPMI,130,1.5815,2023-11-02,DKK,Danish krone,Nasdaq
SEKGBPPMI,130,13.5502,2023-11-02,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,11.1393,2023-11-02,USD,US dollar,Nasdaq
SEKEURPMI,130,11.8035,2023-11-01,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.5798,2023-11-01,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5813,2023-11-01,DKK,Danish krone,Nasdaq
SEKUSDPMI,130,11.1795,2023-11-01,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-11-01,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.8241,2023-10-31,EUR,Euroland euro,Nasdaq
SEKDKKPMI,130,1.584,2023-10-31,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-31,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.5289,2023-10-31,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,11.1208,2023-10-31,USD,US dollar,Nasdaq
SEKEURPMI,130,11.7858,2023-10-30,EUR,Euroland euro,Nasdaq
SEKDKKPMI,130,1.5792,2023-10-30,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-30,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,11.1716,2023-10-30,USD,US dollar,Nasdaq
SEKGBPPMI,130,13.5109,2023-10-30,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5794,2023-10-27,DKK,Danish krone,Nasdaq
SEKGBPPMI,130,13.5307,2023-10-27,GBP,pound sterling,Nasdaq
SEKEURPMI,130,11.7863,2023-10-27,EUR,Euroland euro,Nasdaq
SEKUSDPMI,130,11.1664,2023-10-27,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-10-27,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.5372,2023-10-26,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,11.2015,2023-10-26,USD,US dollar,Nasdaq
SEKDKKPMI,130,1.582,2023-10-26,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-26,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.8076,2023-10-26,EUR,Euroland euro,Nasdaq
SEKEURPMI,130,11.8076,2023-10-25,EUR,Euroland euro,Nasdaq
SEKUSDPMI,130,11.157,2023-10-25,USD,US dollar,Nasdaq
SEKGBPPMI,130,13.5569,2023-10-25,GBP,pound sterling,Nasdaq
